PointID,Northing,Easting,Elevation,Code
36123,0,0,550.0,671-BS
36124,3,0,550.02,694-BS
36125,6,0,550.04,871-BS
36126,9,0,550.06,872-BS
36127,12,0,550.08,604-BS
36128,0,10,549.7,671
36129,3,10,549.72,694
36130,6,10,549.74,871
36131,9,10,549.76,872
36132,12,10,549.7800000000001,604
36133,0,20,549.4,671
36134,3,20,549.42,694
36135,6,20,549.4399999999999,871
36136,9,20,549.4599999999999,872
36137,12,20,549.48,604
36138,0,30,547.27,671
36139,3,30,547.29,694
36140,6,30,547.31,871
36141,9,30,547.3299999999999,872
36142,12,30,547.35,604
36143,0,40,546.9699999999999,671
36144,3,40,546.9899999999999,694
36145,6,40,547.0099999999999,871
36146,9,40,547.0299999999999,872
36147,12,40,547.05,604
36148,0,50,546.67,671
36149,3,50,546.6899999999999,694
36150,6,50,546.7099999999999,871
36151,9,50,546.7299999999999,872
36152,12,50,546.75,604
36153,0,60,546.37,671
36154,3,60,546.39,694
36155,6,60,546.41,871
36156,9,60,546.43,872
36157,12,60,546.45,604
36158,0,70,547.9,671
36159,3,70,547.92,694
36160,6,70,547.9399999999999,871
36161,9,70,547.9599999999999,872
36162,12,70,547.98,604
36163,0,80,547.6,671
36164,3,80,547.62,694
36165,6,80,547.64,871
36166,9,80,547.66,872
36167,12,80,547.6800000000001,604
36168,0,90,547.3,671
36169,3,90,547.3199999999999,694
36170,6,90,547.3399999999999,871
36171,9,90,547.3599999999999,872
36172,12,90,547.38,604
